"RPL2B","Z",850,849,"BK006942.2 REGION: 316134..316767","NOT IN FREEZER"
"RPL2B","E",850,849,"BK006942.2 REGION: 316134..316767","NOT IN FREEZER"
"RPL21A","Z",860,859,"BK006936.2 REGION: 605509..606269","NOT IN FREEZER"
"RPL21A","E",860,859,"BK006936.2 REGION: 605509..606269","NOT IN FREEZER"
"ADH1","Z",1608,1607,"BK006948.2 REGION: complement(160595..161672)","to be constructed 2021-07-14"
"ADH1","E",1608,1607,"BK006948.2 REGION: complement(160595..161672)","to be constructed 2021-07-14"
"ALD6","Z",1604,1603,"BK006949.2 REGION: 432300..432587","to be constructed 2021-07-14"
"ALD6","E",1604,1603,"BK006949.2 REGION: 432300..432587","to be constructed 2021-07-14"
"CIT2","Z",1600,1599,"BK006937.2 REGION: complement(122329..122529)","to be constructed 2021-07-14"
"CIT2","E",1600,1599,"BK006937.2 REGION: complement(122329..122529)","to be constructed 2021-07-14"
"ENO2","Z",411,660,"BK006934.2 REGION: 450807..451326","to be constructed 2021-07-14"
"ENO2","E",411,660,"BK006934.2 REGION: 450807..451326","to be constructed 2021-07-14"
"GAL7","Z",1610,1609,"BK006936.2 REGION: complement(275528..276252)","to be constructed 2021-07-14"
"GAL7","E",1610,1609,"BK006936.2 REGION: complement(275528..276252)","to be constructed 2021-07-14"
"RPL18A","Z",1598,1597,"BK006948.2 REGION: complement(94403..94855)","to be constructed 2021-07-14"
"RPL18A","E",1598,1597,"BK006948.2 REGION: complement(94403..94855)","to be constructed 2021-07-14"
"RPL26A","Z",1606,1605,"BK006945.2 REGION: 817762..819311","to be constructed 2021-07-14"
"RPL26A","E",1606,1605,"BK006945.2 REGION: 817762..819311","to be constructed 2021-07-14"
"RPS20","Z",1602,1601,"BK006934.2 REGION: 74783..75411","to be constructed 2021-07-14"
"RPS20","E",1602,1601,"BK006934.2 REGION: 74783..75411","to be constructed 2021-07-14"
